Departamento,2021,2022,2023
Amazonas,"27,9","28,6","25,8"
Áncash,"17,6","18,6","18,8"
Apurímac,"10,7","9,3","9,3"
Arequipa,"10,6","9,7","8,8"
Ayacucho,"16,9","18,5","15,9"
Cajamarca,"14,1","17,6","16,2"
Prov. Const. del Callao,"8,9","7,3","9,2"
Cusco,"12,3","11,7","11,2"
Huancavelica,"12,9","20,2","20,2"
Huánuco,"23,7","28,4","25,8"
Ica,"11,9","12,0","11,8"
Junín,"23,5","22,0","20,4"
La Libertad,"10,7","11,0","11,8"
Lambayeque,"10,2","7,8","8,0"
Lima,"9,3","9,2","9,5"
Loreto,"56,2","52,5","54,7"
Madre de Dios,"21,1","27,2","29,1"
Moquegua,"10,2","8,9","11,0"
Pasco,"21,9","23,8","26,0"
Piura,"22,6","21,3","21,6"
Puno,"20,5","18,6","19,8"
San Martín,"30,9","32,8","30,1"
Tacna,"6,0","7,0","10,3"
Tumbes,"21,2","21,5","20,3"
Ucayali,"42,9","42,9","43,0"